track_name,date_listened,artist_name,ms_played
Kashmir - Remaster,2022-08-25T20:56:00Z,Led Zeppelin,324167
"Reach Out - From ""Heavy Metal"" Original Soundtrack",2022-08-30T14:52:00Z,Cheap Trick,20944
Too Little Too Late,2022-09-04T07:20:00Z,[spunge],1960
Spit Of You,2022-09-07T17:37:00Z,Sam Fender,273026
"Cello Suite No. 1 In G Major, Bwv 1007: I. Prélude",2022-09-28T15:28:00Z,Johann Sebastian Bach,152280
"The Well-Tempered Clavier, Book 1, Bwv 846-869 / Prelude & Fugue In C Major, Bwv 846: I. Prelude",2022-09-28T15:30:00Z,Johann Sebastian Bach,139306
"Bagatelle No. 25 In A Minor, Woo 59 ""Für Elise""",2022-09-28T15:34:00Z,Ludwig van Beethoven,212066
"Suite No. 3 In D Major, Bwv 1068: Ii. Air",2022-09-28T15:40:00Z,Johann Sebastian Bach,363253
Pachelbel: Canon And Gigue For Three Violins And Continuo In D Major: Canon,2022-09-28T15:45:00Z,Johann Pachelbel,301586
"Handel / Orch. Hale: Keyboard Suite No. 4 In D Minor, Hwv 437: Iii. Sarabande",2022-09-28T15:49:00Z,George Frideric Handel,207266
Gnossienne No. 1,2022-09-28T15:53:00Z,Erik Satie,296480
"The Carnival Of The Animals, R. 125: Xiii. The Swan (Arr. For Cello And Piano)",2022-09-28T15:56:00Z,Camille Saint-Saëns,174266
"Suite Bergamasque, L. 75: Iii. Clair De Lune",2022-09-28T16:01:00Z,Claude Debussy,294960
Méditation From Thaïs,2022-09-28T16:07:00Z,Jules Massenet,331933
Hell,2022-09-07T18:20:00Z,Eliza and the Bear,7871
"An Der Schönen Blauen Donau, Op. 314",2022-09-28T16:08:00Z,Johann Strauss II,43640
Glycobiology (Carbs) With Michelle Dookwah,2022-09-29T00:02:00Z,Ologies with Alie Ward,717778
Sons & Daughters,2022-09-29T10:34:00Z,The Decemberists,313640
Spider Dance,2022-09-29T10:36:00Z,Toby Fox,106434
I Know A Girl,2022-09-29T10:48:00Z,The Preatures,62277
I Know A Girl,2022-09-29T10:57:00Z,The Preatures,165781
Early Morning Breeze,2022-09-29T11:01:00Z,Kishi Bashi,256543
Cheers!,2022-09-29T11:12:00Z,Jukebox The Ghost,46190
Unloved 7 - Bonus Track,2022-09-29T11:12:00Z,Unloved,1780
"Be Prepared - From ""The Lion King"" / Soundtrack Version",2022-09-29T11:16:00Z,Jeremy Irons,217354
Norwegian Wood (This Bird Has Flown) - Remastered 2009,2022-09-07T20:17:00Z,The Beatles,0
Why Bother?,2022-09-29T11:21:00Z,Rob Cantor,101600
Angels,2022-09-29T11:25:00Z,Robbie Williams,265000
Just The Way You Are,2022-09-29T11:36:00Z,Barry White,120547
(Walking Through The) Sleepy City,2022-09-29T16:14:00Z,The Parting Gifts,118280
"Cello Suite No. 1 In G Major, Bwv 1007: I. Prélude",2022-09-29T16:17:00Z,Johann Sebastian Bach,4544
Life With Grace,2022-09-29T16:17:00Z,Super700,177445
The Story So Far,2022-09-29T16:22:00Z,[spunge],1166
How Bad Can I Be?,2022-09-29T16:22:00Z,Ed Helms,1417
A Still Life Franchise,2022-09-29T16:22:00Z,Less Than Jake,1119
"Suite No. 3 In D Major, Bwv 1068: Ii. Air",2022-09-29T16:22:00Z,Johann Sebastian Bach,1745
Norwegian Wood (This Bird Has Flown) - Remastered 2009,2022-09-07T20:19:00Z,The Beatles,124693
The Way We Move,2022-09-29T16:22:00Z,Langhorne Slim,38745
Liquidator,2022-09-29T16:25:00Z,Harry J Allstars,0
Her Last Wave,2022-09-29T16:25:00Z,The Go! Team,969
Moves,2022-09-29T16:25:00Z,Suki Waterhouse,6371
Les Fleurs,2022-09-29T16:25:00Z,Minnie Riperton,2700
Weird Beard,2022-09-29T16:25:00Z,Mad Caddies,23
"At Least It Was Here (""Community"" Main Title) [Full Length Version]",2022-09-29T16:25:00Z,The 88,764
Young Turks - 2008 Remaster,2022-09-29T16:25:00Z,Rod Stewart,181370
Road Rash,2022-09-29T16:25:00Z,Mad Caddies,600
Linger,2022-09-29T16:25:00Z,The Cranberries,1122
Make Me Feel So... (Feat. Dadi Freyr),2022-09-07T20:23:00Z,Montaigne,13638
Changes,2022-09-29T16:25:00Z,Butterfly Boucher,996
Becoming A Jackal,2022-09-29T16:26:00Z,Villagers,0
Young Lover,2022-09-29T16:26:00Z,St. Vincent,990
Treat People With Kindness,2022-09-29T16:32:00Z,Harry Styles,197346
Stop,2022-09-29T16:36:00Z,Justice,234824
All Star,2022-09-29T16:40:00Z,Fauxny,2309
